task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
198	6e/f8a33b	2414270	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (b0a12dfa-fb35-4b78-9886-47354d0f521e)	COMPLETED	0	2026-06-10 00:13:00.392	413ms	0ms	25.2%	9.8 MB	17.6 MB	3.5 MB	9.1 KB
205	2e/4e0019	2414636	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (514a93da-9c6d-4030-8ce2-d470861690d3)	COMPLETED	0	2026-06-10 00:13:00.407	413ms	0ms	32.7%	1.5 MB	4.3 MB	3.1 MB	9 KB
196	04/3ba1e5	2415178	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c)	COMPLETED	0	2026-06-10 00:13:00.435	408ms	0ms	34.7%	4.5 MB	11.9 MB	2.8 MB	9 KB
208	b5/d5db13	2415278	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-10 00:13:00.440	418ms	0ms	27.2%	7.5 MB	13.6 MB	3.3 MB	9.1 KB
182	2c/883641	2415768	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (e9fae13c-4513-4afe-a03f-a2f90bff3f3c)	COMPLETED	0	2026-06-10 00:13:00.461	401ms	0ms	25.2%	2.2 MB	11.2 MB	3.5 MB	9.1 KB
165	6d/cb2371	2416564	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (d90389dc-120f-4e74-b3f0-8d3ac60bd3c4)	COMPLETED	0	2026-06-10 00:13:00.493	392ms	0ms	39.0%	2.2 MB	4.3 MB	3.5 MB	9.1 KB
190	0b/7e258a	2415856	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR8528594)	COMPLETED	0	2026-06-10 00:13:00.465	452ms	0ms	33.6%	1.5 MB	4.3 MB	3.2 MB	9.1 KB
174	dc/f19afe	2417117	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (0b72f9e4-598b-4eb2-addc-9d23aeadd6a8)	COMPLETED	0	2026-06-10 00:13:00.513	418ms	0ms	33.2%	1.5 MB	4.3 MB	3.8 MB	9.1 KB
168	44/f5a9cf	2417306	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR7961323)	COMPLETED	0	2026-06-10 00:13:00.521	411ms	0ms	38.6%	4.5 MB	12.2 MB	3.8 MB	9.1 KB
180	4d/6ac56e	2417460	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (a71a46bf-206a-4ef4-8878-1451e351a6bf)	COMPLETED	0	2026-06-10 00:13:00.525	411ms	0ms	33.7%	3.8 MB	10.5 MB	3.8 MB	9.1 KB
158	cd/2c944b	2412764	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR7411440)	COMPLETED	0	2026-06-10 00:13:00.321	4.7s	5s	141.3%	5.2 MB	219.4 MB	609.9 MB	5.4 KB
161	40/6e3063	2413076	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR7411445)	COMPLETED	0	2026-06-10 00:13:00.339	7.9s	8s	148.3%	4.5 MB	219.4 MB	1.1 GB	5.4 KB
169	6b/398455	2413209	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR7961323)	COMPLETED	0	2026-06-10 00:13:00.344	11s	11s	153.3%	4.5 MB	219.4 MB	1.2 GB	5.4 KB
157	74/5824b9	2416448	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR7411440)	COMPLETED	0	2026-06-10 00:13:00.489	18.5s	18s	128.9%	3.8 MB	220.8 MB	609.9 MB	57.6 KB
194	39/e764b8	2414334	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c)	COMPLETED	0	2026-06-10 00:13:00.395	18.9s	19s	149.6%	4.5 MB	219.4 MB	2.6 GB	5.4 KB
